GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
2050174941,SushiGo,3,GAME_OVER,100,0,4,190,mcts,29.0,54.0,26.0,31.0,random,GroupZOSLAPlayer,random,3,mcts,3,1,1,4,4,2,random,2,GroupZOSLAPlayer,random,random,mcts,random,GroupZOSLAPlayer,0
939314756,SushiGo,3,GAME_OVER,97,0,4,191,mcts,42.0,40.0,18.0,50.0,mcts,mcts,random,2,mcts,2,3,3,4,4,1,mcts,1,mcts,random,mcts,mcts,random,mcts,2
-185365952,SushiGo,3,GAME_OVER,100,0,4,192,GroupZOSLAPlayer,26.0,13.0,24.0,37.0,random,GroupZOSLAPlayer,random,2,GroupZOSLAPlayer,2,4,4,3,3,1,random,1,GroupZOSLAPlayer,random,random,GroupZOSLAPlayer,random,GroupZOSLAPlayer,2
760447603,SushiGo,3,GAME_OVER,97,0,4,193,random,31.0,26.0,24.0,70.0,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,2,random,2,3,3,4,4,1,GroupZOSLAPlayer,1,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,random,GroupZOSLAPlayer,mcts,2
1638779493,SushiGo,3,GAME_OVER,100,0,4,194,mcts,42.0,42.0,15.0,48.0,mcts,mcts,GroupZOSLAPlayer,3,mcts,3,2,2,4,4,1,mcts,1,mcts,GroupZOSLAPlayer,mcts,mcts,GroupZOSLAPlayer,mcts,2
2080281558,SushiGo,3,GAME_OVER,99,0,4,195,mcts,48.0,56.0,24.0,20.0,random,GroupZOSLAPlayer,GroupZOSLAPlayer,2,mcts,2,1,1,3,3,4,random,4,GroupZOSLAPlayer,GroupZOSLAPlayer,random,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,0
2100472900,SushiGo,3,GAME_OVER,98,0,4,196,random,31.0,58.0,30.0,37.0,random,GroupZOSLAPlayer,random,3,random,3,1,1,4,4,2,random,2,GroupZOSLAPlayer,random,random,random,random,GroupZOSLAPlayer,0
1312253936,SushiGo,3,GAME_OVER,96,0,4,197,mcts,35.0,37.0,31.0,22.0,mcts,GroupZOSLAPlayer,mcts,2,mcts,2,1,1,3,3,4,mcts,4,GroupZOSLAPlayer,mcts,mcts,mcts,mcts,GroupZOSLAPlayer,0
1415923339,SushiGo,3,GAME_OVER,101,0,4,198,mcts,24.0,47.0,21.0,33.0,GroupZOSLAPlayer,random,random,3,mcts,3,1,1,4,4,2,GroupZOSLAPlayer,2,random,random,GroupZOSLAPlayer,mcts,random,random,0
-821411834,SushiGo,3,GAME_OVER,99,0,4,199,GroupZOSLAPlayer,32.0,29.0,43.0,28.0,random,GroupZOSLAPlayer,random,2,GroupZOSLAPlayer,2,3,3,1,1,4,random,4,GroupZOSLAPlayer,random,random,GroupZOSLAPlayer,random,GroupZOSLAPlayer,3
-371309519,SushiGo,3,GAME_OVER,98,0,4,200,mcts,48.0,39.0,17.0,28.0,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,1,mcts,1,2,2,4,4,3,mcts,3,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,1
1429367741,SushiGo,3,GAME_OVER,98,0,4,201,random,34.0,30.0,30.0,21.0,random,random,GroupZOSLAPlayer,1,random,1,2,2,3,3,4,random,4,random,GroupZOSLAPlayer,random,random,GroupZOSLAPlayer,random,1
